Zeitgenössische Oper Berlin;696;154;15
kaleidoskop;1.920;790;15
Theater auf der Zitadelle;2.778;4.200;15
Schlossplatztheater;4.849;6.367;15
Theater o.N.;8.063;-;15
andcompany & Co;714;823;15
Fliegendes Theater;-;-;15
ATZE Musiktheater;-;71.898;15
Das Weite Theater;6.209;8.638;15
Das Helmi;629;763;15
Lubricat;300;400;15
Gob Squad;1.296;1.547;15
English Theatre Berlin;9.959;-;15
aufBruch;4.045;4.765;15
Showcase beat Le Mot;3.262;600;15
Hans Wurst Nachfahren;29.000;23.232;15
Novoflot;2.871;2.995;15
isabelle Schad;331;1.235;15
Kroesinger, Hans-Werner;728;-;15
make up productions/A. Baehr;46;300;15
MS Schrittmacher/M. Stiefermann;-;445;15
Martin Nachbar;-;482;15
Laurent Chétouane;1.117;661;15
WilhelmGroener;210;405;15
Christoph Winkler;915;1.044;15
Christina Ciupke;273;335;15
Tanzcompanie Rubato;565;453;15
cie toula limnaios;3.500;3.242;15
Tanztage Berlin;2.044;2.220;15
Ballhaus Ost;7.935;9.073;16
Theaterkapelle;5.850;-;16
Heimathafen Neukölln;12.655;12.669;16
Tanzfabrik Berlin e.V.;5.528;6.416;16
Dock 11;11.373;8.400;16
Laborgras;1.317;204;16
ada Studio & Bühne;982;1.047;16
Brotfabrik;-;9.883;16
